iso,country_name,year,region,state_legit,rule_of_law,gov_effectiveness,gdp,donor,sids
GEO,Georgia,2009,Central and West Asia,1,-0.20492770000000002,0.2873248,2.897130877,0,0
IDN,Indonesia,2009,Southeast Asia,3.3,-0.6026188,-0.2981317,2.595298759,1,0
IND,India,2009,South Asia,4.5,0.013824000000000001,-0.012421399999999999,1.162498808,1,0
JPN,Japan,2009,East Asia,8,1.293836,1.454036,31.651083769999996,1,0
KAZ,Kazakhstan,2009,Central and West Asia,2.3,-0.6456799,-0.39152070000000005,8.48754483,1,0
KGZ,Kyrgyz Republic,2009,Central and West Asia,1.6999999999999993,-1.325342,-0.9648597,0.9823771732000002,0,0
KHM,Cambodia,2009,Southeast Asia,1.5,-1.118063,-0.9450983000000001,0.8549557547000001,0,0
KOR,Republic of Korea,2009,East Asia,5.9,0.9937183,1.094725,23.948472239999997,1,0
LAO,Lao People's Democratic Republic,2009,Southeast Asia,1.8000000000000007,-1.0534629999999998,-0.9469504000000001,1.485476562,0,0
LKA,Sri Lanka,2009,South Asia,1,-0.10709980000000001,-0.14818910000000002,2.7502019059999996,0,0
MDV,Maldives,2009,South Asia,2.8,-0.1897115,-0.44025169999999997,8.222044459000001,0,1
MMR,Myanmar,2009,Southeast Asia,0.5,-1.531916,-1.614053,0.8256948861000001,0,0
MNG,Mongolia,2009,East Asia,3.3,-0.2607741,-0.6674091999999999,2.514916555,0,0
MYS,Malaysia,2009,Southeast Asia,3.9000000000000004,0.45596809999999993,0.983706,7.808658007999999,1,0
NPL,Nepal,2009,South Asia,2,-0.8600230999999999,-0.9502964,0.7014083396,0,0
NZL,New Zealand,2009,Oceania,8.9,1.9303119999999998,1.8518400000000002,35.26367132,1,0
PAK,Pakistan,2009,South Asia,0.9000000000000004,-0.8310665,-0.8008026,1.246367912,0,0
PHL,Philippines,2009,Southeast Asia,1.5,-0.5705019,-0.0265842,2.304836545,0,0
PNG,Papua New Guinea,2009,Oceania,2.3,-0.8916238000000001,-0.7391810000000001,2.076615061,0,1
SGP,Singapore,2009,Southeast Asia,6,1.5660049999999999,2.270797,43.2554559,1,1
SLB,Solomon Islands,2009,Oceania,1.6999999999999993,-0.6806033,-1.099491,1.980355223,0,1
THA,Thailand,2009,Southeast Asia,1.8000000000000007,-0.2301871,0.267293,4.826321427000001,1,0
TJK,Tajikistan,2009,Central and West Asia,1.0999999999999996,-1.2677200000000002,-1.106588,0.7519463107000001,0,0
TKM,Turkmenistan,2009,Central and West Asia,1.5,-1.4700469999999999,-1.445099,3.9683730070000003,0,0
TLS,Timor-Leste,2009,Southeast Asia,0.5999999999999996,-1.1861030000000001,-1.171952,1.103863055,0,1
UZB,Uzbekistan,2009,Central and West Asia,1,-1.321667,-0.6254953000000001,2.037581498,0,0
VNM,Viet Nam,2009,Southeast Asia,2.7,-0.5400581999999999,-0.2552605,1.564347486,0,0
WSM,Samoa,2009,Oceania,3.4000000000000004,0.6391839,0.030528899999999998,4.092554482,0,1
AFG,Afghanistan,2010,South Asia,0,-1.8454270000000002,-1.454611,0.5261036755999999,0,0
ARM,Armenia,2010,Central and West Asia,3.4000000000000004,-0.488626,-0.1839135,2.958838999,0,0
AUS,Australia,2010,Oceania,8.5,1.7649869999999999,1.768468,53.542833720000004,1,0
AZE,Azerbaijan,2010,Central and West Asia,2,-0.8930393,-0.8069345,5.215020912,0,0
BGD,Bangladesh,2010,South Asia,2,-0.8029215999999999,-0.7356406999999999,0.9729096877000001,0,0
